State,Avg Fahrenheit,Avg Celcius,Rank,State Abbreviation
Alabama,62.8,17.1,7,AL
Alaska,26.6,-3.0,50,AK
Arizona,60.3,15.7,10,AZ
Arkansas,60.4,15.8,9,AR
California,59.4,15.2,12,CA
Colorado,45.1,7.3,39,CO
Connecticut,49.0,9.4,29,CT
Delaware,55.3,12.9,16,DE
Florida,70.7,21.5,1,FL
Georgia,63.5,17.5,5,GA
Hawaii,70.0,21.1,2,HI
Idaho,44.4,6.9,40,ID
Illinois,51.8,11.0,23,IL
Indiana,51.7,10.9,25,IN
Iowa,47.8,8.8,36,IA
Kansas,54.3,12.4,19,KS
Kentucky,55.6,13.1,15,KY
Louisiana,66.4,19.1,3,LA
Maine,41.0,5.0,48,ME
Maryland,54.2,12.3,20,MD
Massachusetts,47.9,8.8,35,MA
Michigan,44.4,6.9,40,MI
Minnesota,41.2,5.1,47,MN
Mississippi,63.4,17.4,6,MS
Missouri,54.5,12.5,18,MO
Montana,42.7,5.9,45,MT
Nebraska,48.8,9.3,30,NE
Nevada,49.9,9.9,28,NV
New Hampshire,43.8,6.6,42,NH
New Jersey,52.7,11.5,22,NJ
New Mexico,53.4,11.9,21,NM
New York,45.4,7.4,37,NY
North Carolina,59.0,15.0,13,NC
North Dakota,40.4,4.7,49,ND
Ohio,50.7,10.4,26,OH
Oklahoma,59.6,15.3,11,OK
Oregon,48.4,9.1,33,OR
Pennsylvania,48.8,9.3,30,PA
Rhode Island,50.1,10.1,27,RI
South Carolina,62.4,16.9,8,SC
South Dakota,45.2,7.3,38,SD
Tennessee,57.6,14.2,14,TN
Texas,64.8,18.2,4,TX
Utah,48.6,9.2,32,UT
Vermont,42.9,6.1,44,VT
Virginia,55.1,12.8,17,VA
Washington,48.3,9.1,34,WA
West Virginia,51.8,11.0,23,WV
Wisconsin,43.1,6.2,43,WI
Wyoming,42.0,5.6,46,WY
