State,Personal_Income_Millions,Population,EV_Charging_Stations,Avg Celcius,gas_price_regular
AL,276925.6,5108468.0,409,17.1,2.76
AR,176809.1,3067732.0,312,15.8,2.64
AZ,464774.9,7431344.0,1104,15.7,3.19
CA,3166135.4,38965193.0,16106,15.2,4.4
CO,470605.9,5877610.0,1894,7.3,2.88
CT,325345.8,3617176.0,572,9.4,3.06
DE,68981.6,1031890.0,149,12.9,2.91
FL,1553426.4,22610726.0,3113,21.5,3.05
GA,660447.5,11029227.0,1763,17.5,2.91
IA,201332.8,3207004.0,949,8.8,2.7
ID,116675.3,1964726.0,171,6.9,3.07
IL,906647.6,12549689.0,1636,11.0,3.2
IN,420259.7,6862199.0,693,10.9,2.98
KS,194413.5,2940546.0,606,12.4,2.68
KY,250569.1,4526154.0,336,13.1,2.75
LA,269140.2,4573749.0,226,19.1,2.73
MA,634296.1,7001399.0,2385,8.8,3.04
MD,465936.8,6180253.0,1473,12.3,3.01
ME,90868.2,1395722.0,398,5.0,3.06
MI,613719.2,10037261.0,1414,6.9,3.01
MN,416324.5,5737915.0,1293,5.1,2.83
MO,387904.7,6196156.0,1227,12.5,2.7
MS,145961.8,2939690.0,139,17.4,2.62
MT,73620.0,1132812.0,109,5.9,2.9
NC,670051.1,10835491.0,1461,15.0,2.83
ND,56475.1,783926.0,125,4.7,2.86
NE,141151.0,1978379.0,372,9.3,2.76
NH,110683.7,1402054.0,198,6.6,2.96
NJ,762802.9,9290841.0,884,11.5,2.97
NM,117016.3,2114371.0,269,11.9,2.76
NV,211575.4,3194176.0,537,9.9,3.67
NY,1611169.3,19571216.0,3409,7.4,3.16
OH,724778.8,11785935.0,1417,10.4,2.94
OK,245439.2,4053824.0,591,15.3,2.52
OR,287182.5,4233358.0,1068,9.1,3.53
PA,893649.2,12961683.0,1591,9.3,3.22
RI,74045.8,1095962.0,298,10.1,2.96
SC,308077.8,5373555.0,556,16.9,2.73
SD,66619.5,919318.0,153,7.3,2.84
TN,443472.0,7126489.0,847,14.2,2.7
TX,2020899.0,30503301.0,3002,18.2,2.61
UT,219331.6,3417734.0,925,9.2,3.01
VA,643578.6,8715698.0,1351,12.8,2.92
VT,43335.9,647464.0,340,6.1,3.13
WA,632296.0,7812880.0,1916,9.1,3.99
WI,384068.2,5910955.0,796,6.2,2.76
WV,93504.9,1770071.0,156,11.0,2.91
WY,47927.8,584057.0,93,5.6,2.99
