State ,Regular ,Mid-Grade ,Premium ,Diesel 
Alaska,$3.46 ,$3.70 ,$3.91 ,$3.58 
Alabama,$2.76 ,$3.22 ,$3.61 ,$3.36 
Arkansas,$2.64 ,$3.06 ,$3.43 ,$3.18 
Arizona,$3.19 ,$3.52 ,$3.84 ,$3.54 
California,$4.40 ,$4.63 ,$4.80 ,$4.87 
Colorado,$2.88 ,$3.26 ,$3.58 ,$3.33 
Connecticut,$3.06 ,$3.69 ,$4.04 ,$3.68 
District of Columbia,$3.23 ,$3.82 ,$4.19 ,$3.84 
Delaware,$2.91 ,$3.47 ,$3.73 ,$3.40 
Florida,$3.05 ,$3.49 ,$3.81 ,$3.47 
Georgia,$2.91 ,$3.36 ,$3.75 ,$3.46 
Hawaii,$4.57 ,$4.79 ,$5.04 ,$5.31 
Iowa,$2.70 ,$3.01 ,$3.46 ,$3.28 
Idaho,$3.07 ,$3.30 ,$3.55 ,$3.46 
Illinois,$3.20 ,$3.79 ,$4.23 ,$3.61 
Indiana,$2.98 ,$3.55 ,$4.05 ,$3.71 
Kansas,$2.68 ,$3.02 ,$3.33 ,$3.22 
Kentucky,$2.75 ,$3.28 ,$3.70 ,$3.30 
Louisiana,$2.73 ,$3.18 ,$3.57 ,$3.23 
Massachusetts,$3.04 ,$3.63 ,$3.99 ,$3.69 
Maryland,$3.01 ,$3.61 ,$3.90 ,$3.52 
Maine,$3.06 ,$3.59 ,$4.03 ,$3.77 
Michigan,$3.01 ,$3.62 ,$4.17 ,$3.65 
Minnesota,$2.83 ,$3.27 ,$3.67 ,$3.43 
Missouri,$2.70 ,$3.07 ,$3.38 ,$3.16 
Mississippi,$2.62 ,$3.05 ,$3.42 ,$3.15 
Montana,$2.90 ,$3.20 ,$3.51 ,$3.39 
North Carolina,$2.83 ,$3.28 ,$3.66 ,$3.43 
North Dakota,$2.86 ,$3.15 ,$3.48 ,$3.50 
Nebraska,$2.76 ,$2.97 ,$3.41 ,$3.21 
New Hampshire,$2.96 ,$3.54 ,$3.95 ,$3.69 
New Jersey,$2.97 ,$3.55 ,$3.79 ,$3.44 
New Mexico,$2.76 ,$3.15 ,$3.45 ,$3.30 
Nevada,$3.67 ,$3.96 ,$4.21 ,$3.69 
New York,$3.16 ,$3.67 ,$4.04 ,$3.87 
Ohio,$2.94 ,$3.51 ,$4.03 ,$3.58 
Oklahoma,$2.52 ,$2.89 ,$3.17 ,$3.00 
Oregon,$3.53 ,$3.79 ,$4.02 ,$3.83 
Pennsylvania,$3.22 ,$3.66 ,$4.00 ,$3.95 
Rhode Island,$2.96 ,$3.65 ,$4.00 ,$3.71 
South Carolina,$2.73 ,$3.17 ,$3.53 ,$3.29 
South Dakota,$2.84 ,$3.05 ,$3.47 ,$3.29 
Tennessee,$2.70 ,$3.14 ,$3.52 ,$3.28 
Texas,$2.61 ,$3.04 ,$3.40 ,$3.11 
Utah,$3.01 ,$3.26 ,$3.48 ,$3.31 
Virginia,$2.92 ,$3.39 ,$3.76 ,$3.47 
Vermont,$3.13 ,$3.66 ,$4.05 ,$3.59 
Washington,$3.99 ,$4.26 ,$4.49 ,$4.36 
Wisconsin,$2.76 ,$3.28 ,$3.76 ,$3.33 
West Virginia,$2.91 ,$3.32 ,$3.76 ,$3.57 
Wyoming,$2.99 ,$3.27 ,$3.55 ,$3.41 
